This is data file of various Molecular transition in visible and UV wavelenght range
********************************************************************************
species  lambda   f   gamma  description
CN	3874.608	0.0342	1000000000	0	B-X (0-0) R(0)
CN	3873.998	0.0228	1000000000	1	B-X (0-0) R(1)
CN	3873.369	0.0205	1000000000	2	B-X (0-0) R(2)
CN	3875.763	0.0114	1000000000	1	B-X (0-0) P(1)
CN	3876.31	0.0137	1000000000	2	B-X (0-0) P(2)
CN	3579.963	0.003	1000000000	0	B-X (1-0) R(0)
CH	4300.31	0.0051	1000000000	7	xxx
CH	3886.41	0.0033	1000000000	7	xxx
CH	3890.21	0.0022	1000000000	7	xxx
CH	3878.77	0.0011	1000000000	7	xxx
CH	3146.01	1	1000000000	7	xxx
CH	3143.15	1	1000000000	7	xxx
CH	3137.53	1	1000000000	7	xxx
CH	1695.34	1	1000000000	7	xxx
CH	1693.24	1	1000000000	7	xxx
CH	1549.62	0.013	1000000000	7	xxx
CH	1549.05	0.021	1000000000	7	xxx
CH	1547.87	1	1000000000	7	xxx
CH	1370.87	0.009	1000000000	7	xxx
CH	1369.13	0.030	1000000000	7	xxx
CH	1368.74	0.019	1000000000	7	xxx
CH	1271.02	0.007	1000000000	7	xxx
CH	1270.96	1	1000000000	7	xxx
CH+	4232.548	0.00545	1000000000	0	A-X (0-0) R(0)
CH+	3957.692	0.00331	1000000000	0	A-X (1-0) R(0)
NH	3358.0525	0.0041	1000000000	0	A-X (0-0) R(0)
NH	3353.9235	0.0024	1000000000	0	A-X (0-0) Q(0)
OH	3081.66	2.4E-4	1000000000	7	xxx
OH	3078.44	3.8E-4	1000000000	7	xxx
OH	1222.07	0.00151	1000000000	7	xxx
OH	1222.52	0.00119	1000000000	7	xxx
NaH	3990.88	0.0224	1000000000	0	A-X (8-0) R(0)
NaH	3934.29	1	1000000000	0	A-X (9-0) R(0)
HCl	1290.257	1	1000000000	0	C-X (0-0) R(0)
NO+	1368.197	1	1000000000	0	A-X (0-0) R(0)
NO+	1339.636	1	1000000000	0	A-X (1-0) R(0)
UID	1270.96	1	1000000000	7	xxx
UID	1346.54	1	1000000000	7	xxx           
N2  958.6   0.145  100000000  0  0-0
N2  960.3   0.056  100000000  0  0-0
HCl 1291.0  0.003  100000000  0  C-X
HCl+ 3600.0  0.003  100000000  0  A-X
HF  951.2658  0.00  100000000  0  C-X
HF  1200.2934  0.00 100000000  0  B-X
OH+ 3583.75574 0.000527 1000000 (0,0) R_11(0) from Bacalla2018+
OH+ 3572.65187 0.000312 1000000 (0,0) Q_21(0)
OH+ 3566.4458 0.000117 1000000 (0,0) R_21(0)
OH+ 3565.34592 0.000128 1000000 (0,0) P_31(0)
OH+ 3559.8062 0.000087 1000000 (0,0) Q_31(0)
OH+ 3552.325 0.000005 1000000 (0,0) R_31(0)
OH+ 3346.95559 0.000352 1000000 (1,0) R_11(0)
OH+ 3337.3570 0.000206 1000000 (1,0) Q_21(0)
OH+ 3332.177 0.000082 1000000 (1,0) R_21(0)
OH+ 3330.409 0.000085 1000000 (1,0) P_31(0)
OH+ 3326.369 0.000062 1000000 (1,0) Q_31(0)
OH+ 3319.967 0.000004 1000000 (0,0) R_31(0)
