This is data file of various Molecular transition in visible and UV wavelenght range
********************************************************************************
species  lambda   f   gamma  description
CN  3580.4748   0.00196  1000000000 W   B–X(1-0) R1
CN  3580.9849   0.00294  1000000000 W   B–X(1-0) R0
CN  3581.9622   0.00098  1000000000 W   B–X(1-0) P1
CN  3874.4679   0.02030  1000000000 W   B–X(0-0) R2
CN  3875.0971   0.02250  1000000000 W   B–X(0-0) R1(1)+R2(1)+RQ21(1)
CN  3875.7053   0.03370  1000000000 W   B–X(0-0) R1(0)+RQ21(0)
CN  3876.8626   0.01120  1000000000 W   B–X(0-0) P1(1)+PQ12(1)
CN  3877.4107   0.01350  1000000000 W   B–X(0-0) P2
CN  7877.0135   0.000254  1000000000 W   A–X(2-0) RQ21(0)
CN  7906.0703   0.000254  1000000000 W   A–X(2-0) R1(1)
CN  7908.7761   0.000401  1000000000 W   A–X(2-0) R1(0)
CN  7911.1307   0.000233  1000000000 W   A–X(2-0) QR12(1)+Q1(1)
CH	1368.74	    0.019	1000000000	7	G–X
CH	1369.13	    0.030	1000000000	7	G–X
CH	1370.87  	0.009	1000000000	7	G–X
CH	3138.4681	0.0021	1000000000	7	C–X(0-0)
CH	3144.0705	0.0064	1000000000	7	C–X(0-0)
CH	3146.9032	0.0043	1000000000	7	C–X(0-0)
CH	3634.3247	0.00104	1000000000	7	B–X(1-0) Q2(1)+QR12(1)
CH	3637.2584	0.00069	1000000000	7	B–X(1-0) PQ12(1)
CH	3879.8733	0.0011	1000000000	7	B–X(0-0) R2(1)
CH	3887.5103	0.0032	1000000000	7	B–X(0-0) Q2(1)+QR12(1) 
CH	3891.3193	0.0022	1000000000	7	B–X(0-0) Q2(1)+QR12(1) 
CH	4301.5229	0.00506	1000000000	7	A–X(0-0) R2e(1)+R2f(1)
CH+ 4233.7399	0.00545	1000000000	7	A–X(0-0) R0
CH	1695.34	0.0040	1000000000	7	xxx
CH	1693.24	0.0015	1000000000	7	xxx
CH	1549.62	0.013	1000000000	7	xxx
CH	1549.05	0.021	1000000000	7	xxx
CH	1271.06	0.007	1000000000	7	xxx
CH  1271.02 0.0033 1000000000 7 X2-4dS+
CH  1270.96 0.0194 1000000000 7 X2-4dDel
CH+	3956.5990	0.00331	1000000000	0	A-X (1-0) R(0)
CH+	3958.8060	1	1000000000	0	A-X (1-0) R(0)
CH+	3963.1860	1	1000000000	0	A-X (1-0) R(0)
CH+	4230.5340	1	1000000000	0	A-X (0-0) R(0)
CH+	4233.7350	0.00545	1000000000	0	A-X (0-0) R(0)
CH+	4238.7490	1	1000000000	0	A-X (0-0) R(0)
NH	3358.0525	0.0041	1000000000	0	A-X (0-0) R(0)
NH	3353.9235	0.0024	1000000000	0	A-X (0-0) Q(0)
OH	3081.66	2.4E-4	1000000000	7	xxx
OH	3078.44	3.8E-4	1000000000	7	xxx
OH	1222.07	0.00151	1000000000	7	xxx
OH	1222.52	0.00119	1000000000	7	xxx
NaH	3990.88	0.0224	1000000000	0	A-X (8-0) R(0)
NaH	3934.29	1	1000000000	0	A-X (9-0) R(0)
HCl	1290.257	1	1000000000	0	C-X (0-0) R(0)
NO+	1368.197	1	1000000000	0	A-X (0-0) R(0)
NO+	1339.636	1	1000000000	0	A-X (1-0) R(0)
UID	1270.96	1	1000000000	7	xxx
UID	1346.54	1	1000000000	7	xxx           
N2  958.6   0.145  100000000  0  0-0
N2  960.3   0.056  100000000  0  0-0
HCl 1291.0  0.003  100000000  0  C-X
HCl+ 3600.0  0.003  100000000  0  A-X
HF  951.2658  0.00  100000000  0  C-X
HF  1200.2934  0.00 100000000  0  B-X
C2  1341.8  0.098 100000000  0  F-X
C2  2313.6  0.055 100000000  0  D-X
C2  12287.8  0.0025 100000000  0  A-X 
C2  1341.0 0.100 1000000000 0 F-X (0-0) R(0)
C2  1314.0 0.060 1000000000 0 F-X (1-0) R(0)
C2  2313.6 0.054 1000000000 0 D-X (0-0) R(0)
H2O 1239.728  0.018 100000000  0  0_00
H2O 1239.382  0.0044 100000000  0  1_01
H2O 1240.153  0.0060 100000000  0  1_01
H2O 1240.281  0.0010 100000000  0  2_02
H2O 1240.431  0.0059 100000000  0  3_03
H2O 1242.017  0.0020 100000000  0  3_12
H2O 1242.283  0.0019 100000000  0  3_21
